Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG
D1,08/04/18,Dortmund,Stuttgart,3,0,H,1
D1,08/04/18,Ein Frankfurt,Hoffenheim,1,1,D,0
D1,09/04/18,RB Leipzig,Leverkusen,1,4,A,1
D1,13/04/18,Wolfsburg,Augsburg,0,0,D,0
D1,14/04/18,Bayern Munich,M'gladbach,5,1,H,2
D1,14/04/18,Hertha,FC Koln,2,1,H,0
D1,14/04/18,Hoffenheim,Hamburg,2,0,H,2
D1,14/04/18,Leverkusen,Ein Frankfurt,4,1,H,1
D1,14/04/18,Stuttgart,Hannover,1,1,D,0
D1,15/04/18,Schalke 04,Dortmund,2,0,H,0
D1,15/04/18,Werder Bremen,RB Leipzig,1,1,D,1
D1,16/04/18,Mainz,Freiburg,2,0,H,1
D1,20/04/18,M'gladbach,Wolfsburg,3,0,H,3
D1,21/04/18,Dortmund,Leverkusen,4,0,H,1
D1,21/04/18,Ein Frankfurt,Hertha,0,3,A,0
D1,21/04/18,Hamburg,Freiburg,1,0,H,0
D1,21/04/18,Hannover,Bayern Munich,0,3,A,0
D1,21/04/18,RB Leipzig,Hoffenheim,2,5,A,0
D1,21/04/18,Stuttgart,Werder Bremen,2,0,H,1
D1,22/04/18,Augsburg,Mainz,2,0,H,1
D1,22/04/18,FC Koln,Schalke 04,2,2,D,1
D1,27/04/18,Hoffenheim,Hannover,3,1,H,1
D1,28/04/18,Bayern Munich,Ein Frankfurt,4,1,H,1
D1,28/04/18,Freiburg,FC Koln,3,2,H,1
D1,28/04/18,Hertha,Augsburg,2,2,D,0
D1,28/04/18,Leverkusen,Stuttgart,0,1,A,0
D1,28/04/18,Schalke 04,M'gladbach,1,1,D,1
D1,28/04/18,Wolfsburg,Hamburg,1,3,A,0
D1,29/04/18,Mainz,RB Leipzig,3,0,H,1
D1,29/04/18,Werder Bremen,Dortmund,1,1,D,1
D1,05/05/18,Augsburg,Schalke 04,1,2,A,1
D1,05/05/18,Dortmund,Mainz,1,2,A,1
D1,05/05/18,Ein Frankfurt,Hamburg,3,0,H,1
D1,05/05/18,FC Koln,Bayern Munich,1,3,A,1
D1,05/05/18,Hannover,Hertha,3,1,H,3
D1,05/05/18,M'gladbach,Freiburg,3,1,H,1
D1,05/05/18,RB Leipzig,Wolfsburg,4,1,H,2
D1,05/05/18,Stuttgart,Hoffenheim,2,0,H,1
D1,05/05/18,Werder Bremen,Leverkusen,0,0,D,0
D1,12/05/18,Bayern Munich,Stuttgart,1,4,A,1
D1,12/05/18,Freiburg,Augsburg,2,0,H,0
D1,12/05/18,Hamburg,M'gladbach,2,1,H,1
D1,12/05/18,Hertha,RB Leipzig,2,6,A,1
D1,12/05/18,Hoffenheim,Dortmund,3,1,H,1
D1,12/05/18,Leverkusen,Hannover,3,2,H,2
D1,12/05/18,Mainz,Werder Bremen,1,2,A,1
D1,12/05/18,Schalke 04,Ein Frankfurt,1,0,H,1
D1,12/05/18,Wolfsburg,FC Koln,4,1,H,1
