Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
I1,06/02/2021,19:45,Genoa,Napoli,2,1,H
I1,07/02/2021,11:30,Benevento,Sampdoria,1,1,D
I1,07/02/2021,14:00,Milan,Crotone,4,0,H
I1,07/02/2021,14:00,Udinese,Verona,2,0,H
I1,07/02/2021,17:00,Parma,Bologna,0,3,A
I1,07/02/2021,19:45,Lazio,Cagliari,1,0,H
I1,12/02/2021,19:45,Bologna,Benevento,1,1,D
I1,13/02/2021,14:00,Torino,Genoa,0,0,D
I1,13/02/2021,17:00,Napoli,Juventus,1,0,H
I1,13/02/2021,19:45,Spezia,Milan,2,0,H
I1,14/02/2021,11:30,Roma,Udinese,3,0,H
I1,14/02/2021,14:00,Cagliari,Atalanta,0,1,A
I1,14/02/2021,14:00,Sampdoria,Fiorentina,2,1,H
I1,14/02/2021,17:00,Crotone,Sassuolo,1,2,A
I1,14/02/2021,19:45,Inter,Lazio,3,1,H
I1,15/02/2021,19:45,Verona,Parma,2,1,H
I1,19/02/2021,17:30,Fiorentina,Spezia,3,0,H
I1,19/02/2021,19:45,Cagliari,Torino,0,1,A
I1,20/02/2021,14:00,Lazio,Sampdoria,1,0,H
I1,20/02/2021,17:00,Genoa,Verona,2,2,D
I1,20/02/2021,19:45,Sassuolo,Bologna,1,1,D
I1,21/02/2021,11:30,Parma,Udinese,2,2,D
I1,21/02/2021,14:00,Milan,Inter,0,3,A
I1,21/02/2021,17:00,Atalanta,Napoli,4,2,H
I1,21/02/2021,19:45,Benevento,Roma,0,0,D
I1,22/02/2021,19:45,Juventus,Crotone,3,0,H
I1,27/02/2021,14:00,Spezia,Parma,2,2,D
I1,27/02/2021,17:00,Bologna,Lazio,2,0,H
I1,27/02/2021,19:45,Verona,Juventus,1,1,D
I1,28/02/2021,11:30,Sampdoria,Atalanta,0,2,A
I1,28/02/2021,14:00,Crotone,Cagliari,0,2,A
I1,28/02/2021,14:00,Inter,Genoa,3,0,H
I1,28/02/2021,14:00,Udinese,Fiorentina,1,0,H
I1,28/02/2021,17:00,Napoli,Benevento,2,0,H
I1,28/02/2021,19:45,Roma,Milan,1,2,A
I1,02/03/2021,19:45,Juventus,Spezia,3,0,H
I1,03/03/2021,17:30,Sassuolo,Napoli,3,3,D
I1,03/03/2021,19:45,Atalanta,Crotone,5,1,H
I1,03/03/2021,19:45,Benevento,Verona,0,3,A
I1,03/03/2021,19:45,Cagliari,Bologna,1,0,H
I1,03/03/2021,19:45,Fiorentina,Roma,1,2,A
I1,03/03/2021,19:45,Genoa,Sampdoria,1,1,D
I1,03/03/2021,19:45,Milan,Udinese,1,1,D
I1,04/03/2021,19:45,Parma,Inter,1,2,A
I1,06/03/2021,14:00,Spezia,Benevento,1,1,D
I1,06/03/2021,17:00,Udinese,Sassuolo,2,0,H
I1,06/03/2021,19:45,Juventus,Lazio,3,1,H
I1,07/03/2021,11:30,Roma,Genoa,1,0,H
I1,07/03/2021,14:00,Crotone,Torino,4,2,H
I1,07/03/2021,14:00,Fiorentina,Parma,3,3,D
I1,07/03/2021,14:00,Verona,Milan,0,2,A
I1,07/03/2021,17:00,Sampdoria,Cagliari,2,2,D
I1,07/03/2021,19:45,Napoli,Bologna,3,1,H
I1,08/03/2021,19:45,Inter,Atalanta,1,0,H
I1,12/03/2021,14:00,Lazio,Crotone,3,2,H
I1,12/03/2021,19:45,Atalanta,Spezia,3,1,H
I1,13/03/2021,14:00,Sassuolo,Verona,3,2,H
I1,13/03/2021,17:00,Benevento,Fiorentina,1,4,A
I1,13/03/2021,19:45,Genoa,Udinese,1,1,D
I1,14/03/2021,11:30,Bologna,Sampdoria,3,1,H
I1,14/03/2021,14:00,Parma,Roma,2,0,H
I1,14/03/2021,14:00,Torino,Inter,1,2,A
I1,14/03/2021,17:00,Cagliari,Juventus,1,3,A
I1,14/03/2021,19:45,Milan,Napoli,0,1,A
I1,17/03/2021,14:00,Torino,Sassuolo,3,2,H
I1,19/03/2021,19:45,Parma,Genoa,1,2,A
I1,20/03/2021,14:00,Crotone,Bologna,2,3,A
I1,20/03/2021,17:00,Spezia,Cagliari,2,1,H
I1,21/03/2021,11:30,Verona,Atalanta,0,2,A
I1,21/03/2021,14:00,Juventus,Benevento,0,1,A
I1,21/03/2021,14:00,Sampdoria,Torino,1,0,H
I1,21/03/2021,14:00,Udinese,Lazio,0,1,A
I1,21/03/2021,17:00,Fiorentina,Milan,2,3,A
I1,21/03/2021,19:45,Roma,Napoli,0,2,A
I1,03/04/2021,11:30,Milan,Sampdoria,1,1,D
I1,03/04/2021,14:00,Atalanta,Udinese,3,2,H
I1,03/04/2021,14:00,Benevento,Parma,2,2,D
I1,03/04/2021,14:00,Cagliari,Verona,0,2,A
I1,03/04/2021,14:00,Genoa,Fiorentina,1,1,D
I1,03/04/2021,14:00,Lazio,Spezia,2,1,H
I1,03/04/2021,14:00,Napoli,Crotone,4,3,H
I1,03/04/2021,14:00,Sassuolo,Roma,2,2,D
I1,03/04/2021,17:00,Torino,Juventus,2,2,D
I1,03/04/2021,19:45,Bologna,Inter,0,1,A
I1,07/04/2021,17:45,Inter,Sassuolo,2,1,H
I1,07/04/2021,17:45,Juventus,Napoli,2,1,H
I1,10/04/2021,14:00,Spezia,Crotone,3,2,H
I1,10/04/2021,17:00,Parma,Milan,1,3,A
I1,10/04/2021,19:45,Udinese,Torino,0,1,A
I1,11/04/2021,11:30,Inter,Cagliari,1,0,H
I1,11/04/2021,14:00,Juventus,Genoa,3,1,H
I1,11/04/2021,14:00,Sampdoria,Napoli,0,2,A
I1,11/04/2021,14:00,Verona,Lazio,0,1,A
I1,11/04/2021,17:00,Roma,Bologna,1,0,H
I1,11/04/2021,19:45,Fiorentina,Atalanta,2,3,A
I1,12/04/2021,19:45,Benevento,Sassuolo,0,1,A
I1,17/04/2021,14:00,Crotone,Udinese,1,2,A
I1,17/04/2021,14:00,Sampdoria,Verona,3,1,H
I1,17/04/2021,17:00,Sassuolo,Fiorentina,3,1,H
I1,17/04/2021,19:45,Cagliari,Parma,4,3,H
I1,18/04/2021,11:30,Milan,Genoa,2,1,H
I1,18/04/2021,14:00,Atalanta,Juventus,1,0,H
I1,18/04/2021,14:00,Bologna,Spezia,4,1,H
I1,18/04/2021,14:00,Lazio,Benevento,5,3,H
I1,18/04/2021,17:00,Torino,Roma,3,1,H
I1,18/04/2021,19:45,Napoli,Inter,1,1,D
I1,20/04/2021,19:45,Verona,Fiorentina,1,2,A
I1,21/04/2021,17:30,Milan,Sassuolo,1,2,A
I1,21/04/2021,19:45,Bologna,Torino,1,1,D
I1,21/04/2021,19:45,Crotone,Sampdoria,0,1,A
I1,21/04/2021,19:45,Genoa,Benevento,2,2,D
I1,21/04/2021,19:45,Juventus,Parma,3,1,H
I1,21/04/2021,19:45,Spezia,Inter,1,1,D
I1,21/04/2021,19:45,Udinese,Cagliari,0,1,A
I1,22/04/2021,17:30,Roma,Atalanta,1,1,D
I1,22/04/2021,19:45,Napoli,Lazio,5,2,H
I1,24/04/2021,14:00,Genoa,Spezia,2,0,H
I1,24/04/2021,17:00,Parma,Crotone,3,4,A
I1,24/04/2021,19:45,Sassuolo,Sampdoria,1,0,H
I1,25/04/2021,11:30,Benevento,Udinese,2,4,A
I1,25/04/2021,14:00,Fiorentina,Juventus,1,1,D
I1,25/04/2021,14:00,Inter,Verona,1,0,H
I1,25/04/2021,17:00,Cagliari,Roma,3,2,H
I1,25/04/2021,19:45,Atalanta,Bologna,5,0,H
I1,26/04/2021,17:30,Torino,Napoli,0,2,A
I1,26/04/2021,19:45,Lazio,Milan,3,0,H
I1,01/05/2021,14:00,Verona,Spezia,1,1,D
I1,01/05/2021,17:00,Crotone,Inter,0,2,A
I1,01/05/2021,19:45,Milan,Benevento,2,0,H
I1,02/05/2021,11:30,Lazio,Genoa,4,3,H
I1,02/05/2021,14:00,Bologna,Fiorentina,3,3,D
I1,02/05/2021,14:00,Napoli,Cagliari,1,1,D
I1,02/05/2021,14:00,Sassuolo,Atalanta,1,1,D
